Reaction,Flux,Subsystem
METTRS,0.0,tRNA Charging
TKT2_reverse,0.0,Pentose Phosphate Pathway
GLCabcpp,0.0,"Transport, Inner Membrane"
PA181abcpp,0.0,"Transport, Inner Membrane"
FUSAtex,0.0,"Transport, Outer Membrane Porin"
ACGAL1PPpp,0.0,Alternate Carbon Metabolism
HG2tex_reverse,0.0,"Transport, Outer Membrane Porin"
O16GALFT,0.0,Lipopolysaccharide Biosynthesis / Recycling
HKNTDH,0.0,Alternate Carbon Metabolism
12DGR120tipp,0.0,"Transport, Inner Membrane"
EX_3hpppn_LPAREN_e_RPAREN_,0.0,
EX_LalaDgluMdap_LPAREN_e_RPAREN_,0.0,
PTRCt2pp,0.0,"Transport, Inner Membrane"
ACMANAtex_reverse,0.0,"Transport, Outer Membrane Porin"
UPLA4FNT,0.0,Lipopolysaccharide Biosynthesis / Recycling
LPLIPAL2G180,0.0,Glycerophospholipid Metabolism
LPLIPAL2G181,0.0,Glycerophospholipid Metabolism
GUI2,0.0,Alternate Carbon Metabolism
GUI1,0.0,Alternate Carbon Metabolism
MCTP2App,0.0006067161189055177,Murein Biosynthesis
GLUtex,0.0,"Transport, Outer Membrane Porin"
EX_acgal_LPAREN_e_RPAREN_,0.0,
MALTHXtexi,0.0,"Transport, Outer Membrane"
THMDtex,0.0,"Transport, Outer Membrane Porin"
NMNt7pp,0.0,"Transport, Inner Membrane"
X5PL3E,0.0,Alternate Carbon Metabolism
ARGORNt7pp_reverse,0.0,"Transport, Inner Membrane"
AHCYSNS,0.0012080231788082632,Methionine Metabolism
INDOLEtex,0.0,"Transport, Outer Membrane Porin"
AGPAT140,0.0,Glycerophospholipid Metabolism
AGPAT141,0.0,Glycerophospholipid Metabolism
EX_spmd_LPAREN_e_RPAREN_,0.0,
GTHRDabc2pp,0.0,"Transport, Inner Membrane"
PPALtpp,0.0,"Transport, Inner Membrane"
RPI_reverse,2.2469189185960694,Pentose Phosphate Pathway
ALLK,0.0,Alternate Carbon Metabolism
LALDO3,0.0,Methylglyoxal Metabolism
SLNTtpp,0.0,Inorganic Ion Transport and Metabolism
EX_ser_DASH_D_LPAREN_e_RPAREN_,0.0,
MNt2pp,0.0,"Transport, Inner Membrane"
PLIPA1E160pp,0.0,Glycerophospholipid Metabolism
EX_k_LPAREN_e_RPAREN_,0.0,
CYTDtex_reverse,0.0,"Transport, Outer Membrane Porin"
DGK1_reverse,0.0,Nucleotide Salvage Pathway
ACNAMtex,0.0,"Transport, Outer Membrane"
PTRCtex_reverse,0.0,"Transport, Outer Membrane Porin"
CGLYtex,0.0,"Transport, Outer Membrane Porin"
HYXNtpp,0.0,"Transport, Inner Membrane"
2AGPA120tipp,0.0,"Transport, Inner Membrane"
NDPK7_reverse,0.0,Nucleotide Salvage Pathway
SUCptspp,0.0,"Transport, Inner Membrane"
CPH4S,0.0,Cofactor and Prosthetic Group Biosynthesis
HYD1pp,0.0,Oxidative Phosphorylation
UDPGPpp,0.0,Alternate Carbon Metabolism
CBItonex,0.0,"Transport, Outer Membrane"
MOLYBDOPTERIN_1,0.00022177141939191286,
MOLYBDOPTERIN_2,6.3105688444853256e-06,
GTPtex_reverse,0.0,"Transport, Outer Membrane Porin"
2DGULRGy,0.0,Alternate Carbon Metabolism
2DGULRGx,0.0,Alternate Carbon Metabolism
DOPAtex,0.0,"Transport, Outer Membrane Porin"
2AGPG180tipp,0.0,"Transport, Inner Membrane"
EX_fruur_LPAREN_e_RPAREN_,0.0,
ALLULPE_reverse,0.0,Alternate Carbon Metabolism
NDPK4,0.029710158119836915,Nucleotide Salvage Pathway
FUMt2_2pp,0.0,"Transport, Inner Membrane"
AGMtex,0.0,"Transport, Outer Membrane Porin"
WCOS,0.0,Cofactor and Prosthetic Group Biosynthesis
METS,0.14211851792699093,Methionine Metabolism
UREAtex_reverse,0.0,"Transport, Outer Membrane Porin"
MOLYBDOPTERIN_3,0.0004435428387838257,
O16AP1pp,0.0,Lipopolysaccharide Biosynthesis / Recycling
ACOLIPAabctex,0.0,Lipopolysaccharide Biosynthesis / Recycling
PROD2,0.0,Arginine and Proline Metabolism
REPHACCOAI,0.0,Alternate Carbon Metabolism
G3PStex,0.0,"Transport, Outer Membrane Porin"
ENLIPAabctex,0.0,Lipopolysaccharide Biosynthesis / Recycling
PSCLYStex,0.0,"Transport, Outer Membrane Porin"
HOMtex,0.0,"Transport, Outer Membrane Porin"
EX_manglyc_LPAREN_e_RPAREN_,0.0,
PE120abcpp,0.0,"Transport, Inner Membrane"
TAGURr,0.0,Alternate Carbon Metabolism
EX_pacald_LPAREN_e_RPAREN_,0.0,
EX_ins_LPAREN_e_RPAREN_,0.0,
GLYCDx,0.0,Alternate Carbon Metabolism
RBP4E,0.0,Alternate Carbon Metabolism
MNLtex_reverse,0.0,"Transport, Outer Membrane Porin"
CHTBStex,0.0,"Transport, Outer Membrane Porin"
ARBt2rpp,0.0,"Transport, Inner Membrane"
NH4tex_reverse,0.0,"Transport, Outer Membrane Porin"
ACOAD4f,0.0,Membrane Lipid Metabolism
GALS3,0.0,Alternate Carbon Metabolism
DMStex,0.0,"Transport, Outer Membrane Porin"
EX_enter_LPAREN_e_RPAREN_,0.0,
EX_rfamp_LPAREN_e_RPAREN_,0.0,
XYLtex_reverse,0.0,"Transport, Outer Membrane Porin"
THRtex_reverse,0.0,"Transport, Outer Membrane Porin"
XYLK,0.0,Alternate Carbon Metabolism
PSERtex_reverse,0.0,"Transport, Outer Membrane Porin"
AMPN,0.0,Nucleotide Salvage Pathway
FE3HOXexs,0.0,Inorganic Ion Transport and Metabolism
DXYLK,0.0,Cofactor and Prosthetic Group Biosynthesis
3HCINNMH,0.0,Alternate Carbon Metabolism
ORNabcpp,0.0,"Transport, Inner Membrane"
PG160abcpp,0.009718276020507401,"Transport, Inner Membrane"
FLVR,0.0,Cofactor and Prosthetic Group Biosynthesis
NADPHQR3,0.0,Oxidative Phosphorylation
NADPHQR4,0.0,Oxidative Phosphorylation
EX_5mtr_LPAREN_e_RPAREN_,0.006079782326744148,
HG2tex,0.0,"Transport, Outer Membrane Porin"
ADOCBLS,0.0,Cofactor and Prosthetic Group Biosynthesis
DM_5DRIB,0.00040928546505661963,
MLTGY3pp,0.0,Murein Recycling
LADGMDH,0.0,Murein Recycling
DDGALK,0.0,Alternate Carbon Metabolism
CPGNabcpp,0.0,"Transport, Inner Membrane"
ECAP1pp,0.0,Lipopolysaccharide Biosynthesis / Recycling
ORNDC,0.036073014534747976,Arginine and Proline Metabolism
O16A4COLIPAabctex,0.0,Lipopolysaccharide Biosynthesis / Recycling
EAR140y,0.0,Cell Envelope Biosynthesis
DCYTD,0.0,Nucleotide Salvage Pathway
SELGTHR,0.0,Inorganic Ion Transport and Metabolism
VPAMTr_reverse,0.0,"Valine, Leucine, and Isoleucine Metabolism"
AP5AH,0.0,Nucleotide Salvage Pathway
AACPS7,0.0,Cell Envelope Biosynthesis
IDONtex,0.0,"Transport, Outer Membrane Porin"
GLCtex,0.0,"Transport, Outer Membrane Porin"
AB6PGH,0.0,Alternate Carbon Metabolism
BALAtex_reverse,0.0,"Transport, Outer Membrane Porin"
HCO3E_reverse,0.0,Unassigned
RNDR2b,0.0,Nucleotide Salvage Pathway
EX_3amp_LPAREN_e_RPAREN_,0.0,
TYRtex,0.0,"Transport, Outer Membrane Porin"
PRPPS_reverse,0.0,Histidine Metabolism
HDCAtexi,0.0,"Transport, Outer Membrane"
SBTptspp,0.0,"Transport, Inner Membrane"
MALtex_reverse,0.0,"Transport, Outer Membrane Porin"
MOBDtex,0.0001235068473849271,"Transport, Outer Membrane Porin"
FACOAE100,0.0,Cell Envelope Biosynthesis
ADD,0.0,Nucleotide Salvage Pathway
ADA,0.0,Nucleotide Salvage Pathway
GALCTND,0.0,Alternate Carbon Metabolism
GLCDpp,0.0,Oxidative Phosphorylation
FDH4pp,0.0,Oxidative Phosphorylation
EDTXS4,0.0,Lipopolysaccharide Biosynthesis / Recycling
ALTRH,0.0,Alternate Carbon Metabolism
EDTXS3,0.0,Lipopolysaccharide Biosynthesis / Recycling
LALALGLUtex,0.0,"Transport, Outer Membrane Porin"
G1Ptex_reverse,0.0,"Transport, Outer Membrane Porin"
GLCRt2rpp_reverse,0.0,"Transport, Inner Membrane"
FA120ACPHi,0.0,Cell Envelope Biosynthesis
GTHPi,0.0,Unassigned
FE3DHBZStonex,0.0,"Transport, Outer Membrane"
EX_fru_LPAREN_e_RPAREN_,0.0,
Kt3pp,0.0,Inorganic Ion Transport and Metabolism
NDPK2_reverse,0.0,Nucleotide Salvage Pathway
FACOAL160t2pp,0.0,Cell Envelope Biosynthesis
ASPt2rpp,0.0,"Transport, Inner Membrane"
MANAO_reverse,0.0,Alternate Carbon Metabolism
O2tpp,18.0,Inorganic Ion Transport and Metabolism
R5PPpp,0.0,Alternate Carbon Metabolism
HPPPNt2rpp,0.0,"Transport, Inner Membrane"
LIPOt2pp,0.0,"Transport, Inner Membrane"
Ktex_reverse,0.0,"Transport, Outer Membrane Porin"
SUCCtex,0.0,"Transport, Outer Membrane Porin"
ALAt4pp,0.0,"Transport, Inner Membrane"
ASPt2_3pp,0.0,"Transport, Inner Membrane"
ACGALtex,0.0,"Transport, Outer Membrane Porin"
ECA4COLIPAabctex,0.0,Lipopolysaccharide Biosynthesis / Recycling
NO3tex,0.0,"Transport, Outer Membrane Porin"
FE2tex_reverse,0.0,"Transport, Outer Membrane Porin"
OXAMTC,0.0,Unassigned
ANHGMtex_reverse,0.0,"Transport, Outer Membrane Porin"
H2Stex_reverse,0.0,"Transport, Outer Membrane Porin"
SPODM,0.0,Unassigned
GLUabcpp,0.0,"Transport, Inner Membrane"
TPRDCOAS,0.0,Cofactor and Prosthetic Group Biosynthesis
NTD8,0.0,Nucleotide Salvage Pathway
NTD9,0.0,Nucleotide Salvage Pathway
NTD6,0.0,Nucleotide Salvage Pathway
NTD7,0.0,Nucleotide Salvage Pathway
NTD4,0.0,Nucleotide Salvage Pathway
NTD5,0.0,Nucleotide Salvage Pathway
NTD2,0.0,Nucleotide Salvage Pathway
NTD3,0.0,Nucleotide Salvage Pathway
NTD1,0.0,Nucleotide Salvage Pathway
THMDt2rpp,0.0,"Transport, Inner Membrane"
NAtex,0.0,"Transport, Outer Membrane Porin"
METAT,0.007899930683467477,Methionine Metabolism
GK1_reverse,0.0,Nucleotide Salvage Pathway
GBBTNtex,0.0,"Transport, Outer Membrane Porin"
PLIPA1A160pp,0.0,Glycerophospholipid Metabolism
ACALDtex_reverse,0.0,"Transport, Outer Membrane Porin"
INStex,0.0,"Transport, Outer Membrane"
DOXRBCNtpp,0.0,"Transport, Outer Membrane"
RHCCE,0.0012080231788082632,Methionine Metabolism
PPCK,0.0,Anaplerotic Reactions
CTECOAI6,0.0,Membrane Lipid Metabolism
CTECOAI7,0.0,Membrane Lipid Metabolism
CMtex_reverse,0.0,"Transport, Outer Membrane Porin"
GALTtex_reverse,0.0,"Transport, Outer Membrane Porin"
EX_all_DASH_D_LPAREN_e_RPAREN_,0.0,
PACALDtex,0.0,"Transport, Outer Membrane Porin"
23CAMPtex_reverse,0.0,"Transport, Outer Membrane Porin"
CTECOAI8,0.0,Membrane Lipid Metabolism
G6PDH2r,4.751631198632725,Pentose Phosphate Pathway
HCYSMT,0.0,Methionine Metabolism
NMNAT,0.0,Cofactor and Prosthetic Group Biosynthesis
Kabcpp,0.0,Inorganic Ion Transport and Metabolism
MELIBt2pp,0.0,"Transport, Inner Membrane"
NTP10,0.0,Nucleotide Salvage Pathway
H2tex_reverse,0.0,"Transport, Outer Membrane Porin"
MANGLYCtex_reverse,0.0,"Transport, Outer Membrane Porin"
EX_LalaDglu_LPAREN_e_RPAREN_,0.0,
NACODA,0.0,Arginine and Proline Metabolism
DSERtex,0.0,"Transport, Outer Membrane Porin"
HG2t3pp,0.0,Inorganic Ion Transport and Metabolism
PYRt2rpp_reverse,0.0,"Transport, Inner Membrane"
THRPtex_reverse,0.0,"Transport, Outer Membrane Porin"
NI2t3pp,0.0,Inorganic Ion Transport and Metabolism
GDPMNH,0.0,Cell Envelope Biosynthesis
UM4PL,0.0,Murein Recycling
ACMUMtex,0.0,"Transport, Outer Membrane Porin"
LPLIPAL1A120pp,0.0,Glycerophospholipid Metabolism
GDPMNP,0.0,Cell Envelope Biosynthesis
MMETt2pp,0.0,"Transport, Inner Membrane"
ADK4_reverse,0.0,Nucleotide Salvage Pathway
DHACOAH,0.0,Alternate Carbon Metabolism
MALDDH,0.0,Alternate Carbon Metabolism
LALALGLUtex_reverse,0.0,"Transport, Outer Membrane Porin"
PHETA1_reverse,0.16229070199329895,"Tyrosine, Tryptophan, and Phenylalanine Metabolism"
MN2tpp,0.0005931934713816206,Inorganic Ion Transport and Metabolism
EX_cl_LPAREN_e_RPAREN_,0.0,
PE180abcpp,0.0,"Transport, Inner Membrane"
FOMETRi,0.0,Folate Metabolism
ARBTNabcpp,0.0,"Transport, Inner Membrane"
EX_nac_LPAREN_e_RPAREN_,0.0,
EX_peamn_LPAREN_e_RPAREN_,0.0,
EX_tmao_LPAREN_e_RPAREN_,0.0,
FUCtpp_reverse,0.0,"Transport, Inner Membrane"
PAPA160,0.0,Glycerophospholipid Metabolism
PAPA161,0.0,Glycerophospholipid Metabolism
EX_akg_LPAREN_e_RPAREN_,0.0,
MALTPTabcpp,0.0,"Transport, Inner Membrane"
ACACT3r,0.0,Membrane Lipid Metabolism
MINOHPtexi,0.0,"Transport, Outer Membrane"
RNTR3c2,0.0,Nucleotide Salvage Pathway
PGPP120pp,0.0,Glycerophospholipid Metabolism
FEOXAMtonex,0.0,"Transport, Outer Membrane"
FMETTRS,0.0,tRNA Charging
EX_glcur1p_LPAREN_e_RPAREN_,0.0,
GPDDA3pp,0.0,Glycerophospholipid Metabolism
PTRCORNt7pp,0.0,"Transport, Inner Membrane"
ASCBtex_reverse,0.0,"Transport, Outer Membrane Porin"
12DGR181tipp,0.0,"Transport, Inner Membrane"
TYRt2rpp,0.0,"Transport, Inner Membrane"
NTPP9,0.0,Nucleotide Salvage Pathway
NTPP8,0.0,Nucleotide Salvage Pathway
NTPP7,0.0,Nucleotide Salvage Pathway
NTPP6,0.0,Nucleotide Salvage Pathway
NTPP5,0.0,Nucleotide Salvage Pathway
NTPP4,0.0,Nucleotide Salvage Pathway
NTPP3,0.0,Nucleotide Salvage Pathway
NTPP2,0.0,Nucleotide Salvage Pathway
DM_4CRSOL,0.00020103669318860393,
EX_chtbs_LPAREN_e_RPAREN_,0.0,
ACOTA_reverse,0.2951849712893155,Arginine and Proline Metabolism
COFACTOR_5,0.0001045751408514711,
FCLPA,0.0,Alternate Carbon Metabolism
F6Pt6_2pp,0.0,"Transport, Inner Membrane"
EX_din_LPAREN_e_RPAREN_,0.0,
MAN6PI,0.0,Alternate Carbon Metabolism
PPALtex,0.0,"Transport, Outer Membrane Porin"
HPPPNDO,0.0,Alternate Carbon Metabolism
DMSOR2pp,0.0,Oxidative Phosphorylation
LCADi,0.0,Alternate Carbon Metabolism
CHLt2pp,0.0,"Transport, Inner Membrane"
MCITS,0.0,Alternate Carbon Metabolism
FALDH2,0.0,Cofactor and Prosthetic Group Biosynthesis
SPMDtex_reverse,0.0,"Transport, Outer Membrane Porin"
MCITD,0.0,Alternate Carbon Metabolism
FUMtex_reverse,0.0,"Transport, Outer Membrane Porin"
ALAGLUE_reverse,0.0,Murein Recycling
EX_quin_LPAREN_e_RPAREN_,0.0,
HIStex,0.0,"Transport, Outer Membrane Porin"
H2Otex_reverse,43.08205905007804,"Transport, Outer Membrane Porin"
PA160abcpp,0.0,"Transport, Inner Membrane"
3AMPtex_reverse,0.0,"Transport, Outer Membrane Porin"
URAt2rpp,0.0,"Transport, Inner Membrane"
SULRi,0.22344552315537047,Cysteine Metabolism
DINStex,0.0,"Transport, Outer Membrane Porin"
12PPDStpp_reverse,0.0,"Transport, Inner Membrane"
PSSA180,0.0,Glycerophospholipid Metabolism
RMPA_reverse,0.0,Alternate Carbon Metabolism
SULFACtex,0.0,"Transport, Outer Membrane Porin"
DRPA,0.0,Alternate Carbon Metabolism
CLPNH140pp,0.0,Glycerophospholipid Metabolism
OCTAtex,0.0,"Transport, Outer Membrane Porin"
EX_pi_LPAREN_e_RPAREN__reverse,0.8358312374126866,
DIMPtex_reverse,0.0,"Transport, Outer Membrane Porin"
ACPPAT161,0.0,Glycerophospholipid Metabolism
ACPPAT160,0.0,Glycerophospholipid Metabolism
SO3tex_reverse,0.0,"Transport, Outer Membrane Porin"
CD2tex,0.0,"Transport, Outer Membrane Porin"
PNTOtex_reverse,0.0,"Transport, Outer Membrane Porin"
H2O2tex_reverse,0.0,"Transport, Outer Membrane Porin"
URAtex,0.0,"Transport, Outer Membrane Porin"
TRPS2,0.0,"Tyrosine, Tryptophan, and Phenylalanine Metabolism"
LPLIPAL1G161pp,0.0,Glycerophospholipid Metabolism
GLYCAt2rpp_reverse,0.0,"Transport, Inner Membrane"
EX_gam6p_LPAREN_e_RPAREN_,0.0,
GBBTNtex_reverse,0.0,"Transport, Outer Membrane Porin"
EX_glyclt_LPAREN_e_RPAREN_,0.0,
EX_fe2_LPAREN_e_RPAREN__reverse,0.013997743206903378,
PE161abcpp,0.022296141237401583,"Transport, Inner Membrane"
EAR141y,0.0,Cell Envelope Biosynthesis
CRNCAL2,0.0,Oxidative Phosphorylation
PPBNGS,0.0024124403182632474,Cofactor and Prosthetic Group Biosynthesis
pyr_to_23dhmb,0.7658668621437669,
SULFACabcpp,0.0,"Transport, Inner Membrane"
EX_melib_LPAREN_e_RPAREN_,0.0,
MLTG3,0.0,Alternate Carbon Metabolism
IPPMIa_reverse,0.3946611725144424,"Valine, Leucine, and Isoleucine Metabolism"
MLTG2,0.0,Alternate Carbon Metabolism
TAGURr_reverse,0.0,Alternate Carbon Metabolism
TYRPpp,0.0,"Tyrosine, Tryptophan, and Phenylalanine Metabolism"
HISTRS,0.0,tRNA Charging
CBPS,0.0,Arginine and Proline Metabolism
MALDt2_2pp,0.0,"Transport, Inner Membrane"
AGM3PA,0.0,Murein Recycling
TYRtex_reverse,0.0,"Transport, Outer Membrane Porin"
AGM3PH,0.0,Murein Recycling
EX_succ_LPAREN_e_RPAREN_,0.0,
EX_cu2_LPAREN_e_RPAREN__reverse,0.0006076176287404442,
TMDK1,0.0,Nucleotide Salvage Pathway
EX_f6p_LPAREN_e_RPAREN_,0.0,
LPLIPAL1A160pp,0.0,Glycerophospholipid Metabolism
PGP140abcpp,0.0,"Transport, Inner Membrane"
PHYTSpp,0.0,Alternate Carbon Metabolism
12DGR141tipp,0.0,"Transport, Inner Membrane"
ASPt2rpp_reverse,0.0,"Transport, Inner Membrane"
EX_phe_DASH_L_LPAREN_e_RPAREN_,0.0,
LPLIPAL2ATG161,0.0,Glycerophospholipid Metabolism
LPLIPAL2ATG160,0.0,Glycerophospholipid Metabolism
DAPtex_reverse,0.0,"Transport, Outer Membrane Porin"
GLCURt2rpp_reverse,0.0,"Transport, Inner Membrane"
GLYC3Pabcpp,0.0,"Transport, Inner Membrane"
ACOAD5f,0.0,Membrane Lipid Metabolism
EX_pppn_LPAREN_e_RPAREN_,0.0,
HOMt2pp,0.0,"Transport, Inner Membrane"
PLIPA2G141pp,0.0,Glycerophospholipid Metabolism
GMPtex_reverse,0.0,"Transport, Outer Membrane Porin"
TSULabcpp,0.0,Inorganic Ion Transport and Metabolism
DHFR,0.023166098228105638,Cofactor and Prosthetic Group Biosynthesis
LPLIPAL2ATE180,0.0,Glycerophospholipid Metabolism
SUCMALtpp,0.0,"Transport, Inner Membrane"
NH4tpp,9.471513846981399,Inorganic Ion Transport and Metabolism
VALTA,0.0,"Valine, Leucine, and Isoleucine Metabolism"
TMAOR1,0.0,Oxidative Phosphorylation
R5PP,0.0,Alternate Carbon Metabolism
LPLIPAL2A120,0.0,Glycerophospholipid Metabolism
CFAS160G,0.0,Glycerophospholipid Metabolism
CFAS160E,0.0,Glycerophospholipid Metabolism
ICHORS,0.0,Cofactor and Prosthetic Group Biosynthesis
ADK4,0.0,Nucleotide Salvage Pathway
ADK3,0.0,Nucleotide Salvage Pathway
ACALDtpp,0.0,"Transport, Inner Membrane"
PLIPA2E141pp,0.0,Glycerophospholipid Metabolism
GLYALDtpp,0.0,"Transport, Inner Membrane"
ALLtex_reverse,0.0,"Transport, Outer Membrane Porin"
CRNtex_reverse,0.0,"Transport, Outer Membrane Porin"
FEROpp,0.0,Inorganic Ion Transport and Metabolism
ptrc_to_4abut_1,0.0,
PLIPA1G161pp,0.0,Glycerophospholipid Metabolism
APG3PAT181,0.0,Glycerophospholipid Metabolism
APG3PAT180,0.0,Glycerophospholipid Metabolism
LALALGLUtpp,0.0,"Transport, Inner Membrane"
XANtpp_reverse,0.0,"Transport, Inner Membrane"
PA161abcpp,0.0,"Transport, Inner Membrane"
PACALDt2rpp_reverse,0.0,"Transport, Inner Membrane"
CRNCDH,0.0,Oxidative Phosphorylation
PGPP141,0.0,Glycerophospholipid Metabolism
PGPP140,0.0,Glycerophospholipid Metabolism
CYTDt2rpp,0.0,"Transport, Inner Membrane"
TDPADGAT,0.0,Cell Envelope Biosynthesis
PUNP4_reverse,0.0,Nucleotide Salvage Pathway
GLCP2,0.0,Glycolysis/Gluconeogenesis
PG180abcpp,0.0,"Transport, Inner Membrane"
M1PD,0.0,Alternate Carbon Metabolism
RNDR3b,0.0,Nucleotide Salvage Pathway
COtex,0.00020103669318860393,
G3PCabcpp,0.0,"Transport, Inner Membrane"
EX_cpgn_LPAREN_e_RPAREN_,0.0,
FUM_reverse,0.0,Citric Acid Cycle
ACONMT,0.0,Unassigned
TRPtex_reverse,0.0,"Transport, Outer Membrane Porin"
TREptspp,0.0,"Transport, Inner Membrane"
GALCTtex,0.0,"Transport, Outer Membrane Porin"
URAt2rpp_reverse,0.0,"Transport, Inner Membrane"
EX_acgam1p_LPAREN_e_RPAREN_,0.0,
ALR2,0.0,Methylglyoxal Metabolism
ENTERES,0.0,Inorganic Ion Transport and Metabolism
TUNGStex,0.0,"Transport, Outer Membrane Porin"
THMtex_reverse,0.0,"Transport, Outer Membrane Porin"
ACNAMt2pp,0.0,"Transport, Inner Membrane"
FMNRx2,0.0,Cofactor and Prosthetic Group Biosynthesis
ALLTNtex_reverse,0.0,"Transport, Outer Membrane Porin"
O16AT,0.0,Lipopolysaccharide Biosynthesis / Recycling
DSBAO2,0.0,Unassigned
DSBAO1,0.0,Unassigned
5MTRtex_reverse,0.006079782326744148,"Transport, Outer Membrane Porin"
MINCYCtex,0.0,"Transport, Outer Membrane Porin"
ASAD_reverse,0.9431073017296525,Threonine and Lysine Metabolism
SO3tex,0.0,"Transport, Outer Membrane Porin"
3OXCOAT,0.0,Alternate Carbon Metabolism
DMSOR1pp,0.0,Oxidative Phosphorylation
FBA3_reverse,0.0,Pentose Phosphate Pathway
PLIPA1E161pp,0.0,Glycerophospholipid Metabolism
2AGPE161tipp,0.0,"Transport, Inner Membrane"
IDONtex_reverse,0.0,"Transport, Outer Membrane Porin"
LCTStpp_reverse,0.0,"Transport, Inner Membrane"
METDtex,0.0,"Transport, Outer Membrane Porin"
TMAOtex,0.0,"Transport, Outer Membrane Porin"
CYANtex,0.0,"Transport, Outer Membrane Porin"
EX_tyrp_LPAREN_e_RPAREN_,0.0,
MELIBtex_reverse,0.0,"Transport, Outer Membrane Porin"
APG3PAT161,0.0,Glycerophospholipid Metabolism
APG3PAT160,0.0,Glycerophospholipid Metabolism
EX_ttdcea_LPAREN_e_RPAREN_,0.0,
CYTDt2pp,0.0,"Transport, Inner Membrane"
FEENTERabcpp,0.0,Inorganic Ion Transport and Metabolism
EX_nmn_LPAREN_e_RPAREN_,0.0,
PDE4,0.0,Nucleotide Salvage Pathway
PDE1,0.0,Nucleotide Salvage Pathway
PItex,0.8358312374126866,"Transport, Outer Membrane Porin"
CYTK1,0.14766100039212934,Nucleotide Salvage Pathway
CYTK2,0.0,Nucleotide Salvage Pathway
VALt2rpp_reverse,0.0,"Transport, Inner Membrane"
L_DASH_LACD2,0.0,Oxidative Phosphorylation
L_DASH_LACD3,0.0,Oxidative Phosphorylation
PHEtex,0.0,"Transport, Outer Membrane Porin"
ME2,0.0,Anaplerotic Reactions
ECA4OALpp,0.0,Lipopolysaccharide Biosynthesis / Recycling
O16AP2pp,0.0,Lipopolysaccharide Biosynthesis / Recycling
PUNP2_reverse,0.0,Nucleotide Salvage Pathway
URItex_reverse,0.0,"Transport, Outer Membrane"
NODOy,0.0,Nitrogen Metabolism
2AGPE160tipp,0.0,"Transport, Inner Membrane"
RMNtex_reverse,0.0,"Transport, Outer Membrane Porin"
EX_novbcn_LPAREN_e_RPAREN_,0.0,
EX_sel_LPAREN_e_RPAREN_,0.0,
PUNP6_reverse,0.0,Nucleotide Salvage Pathway
EX_4abut_LPAREN_e_RPAREN_,0.0,
GLUt4pp,0.0,"Transport, Inner Membrane"
SERt2rpp,0.0,"Transport, Inner Membrane"
H2tpp,0.0,"Transport, Inner Membrane"
DCTPD,0.0,Nucleotide Salvage Pathway
ETHAtex_reverse,0.0,"Transport, Outer Membrane Porin"
ZN2tpp,0.0002920891865161779,Inorganic Ion Transport and Metabolism
SKMtex_reverse,0.0,"Transport, Outer Membrane Porin"
CLPNS140pp,0.0,Glycerophospholipid Metabolism
GLYC2Pabcpp,0.0,"Transport, Inner Membrane"
XTSNt2rpp_reverse,0.0,"Transport, Inner Membrane"
GDMANE,0.0,Cell Envelope Biosynthesis
PGPP160pp,0.0,Glycerophospholipid Metabolism
GLUABUTt7pp_reverse,0.0,"Transport, Inner Membrane"
CD2abcpp,0.0,Inorganic Ion Transport and Metabolism
ENO,14.475956703430445,Glycolysis/Gluconeogenesis
RBP4E_reverse,0.0,Alternate Carbon Metabolism
DHMPTR,0.0,Cofactor and Prosthetic Group Biosynthesis
2AGPG160tipp,0.0,"Transport, Inner Membrane"
O2Stex_reverse,0.0,"Transport, Outer Membrane Porin"
EX_arbtn_LPAREN_e_RPAREN_,0.0,
IPPMIb_reverse,0.3946611725144424,"Valine, Leucine, and Isoleucine Metabolism"
ARGAGMt7pp,0.0,"Transport, Inner Membrane"
CRNt2rpp_reverse,0.0,"Transport, Inner Membrane"
UREAtpp_reverse,0.0,"Transport, Inner Membrane"
FADRx,0.0006986701220680188,Cofactor and Prosthetic Group Biosynthesis
MSO3tex,0.0,"Transport, Outer Membrane Porin"
4HOXPACDtex_reverse,0.0,"Transport, Outer Membrane Porin"
MCTP1App,0.005456839030809953,Murein Biosynthesis
ACPPAT120,0.0,Glycerophospholipid Metabolism
12DGR140tipp,0.0,"Transport, Inner Membrane"
5DGLCNtex_reverse,0.0,"Transport, Outer Membrane Porin"
ACOAD6f,0.0,Membrane Lipid Metabolism
EX_acgam_LPAREN_e_RPAREN_,0.0,
EX_sulfac_LPAREN_e_RPAREN_,0.0,
TMAtex,0.0,"Transport, Outer Membrane Porin"
MNNH,0.0,Alternate Carbon Metabolism
glu_DASH_L_to_glu5sa,0.19364250952253698,
ACGAM1Ptex_reverse,0.0,"Transport, Outer Membrane Porin"
DTARTD,0.0,Alternate Carbon Metabolism
imp_to_amp,0.26176419868890183,
XYLt2pp,0.0,"Transport, Inner Membrane"
PUNP1_reverse,0.007697090970609031,Nucleotide Salvage Pathway
PETNT161pp,0.0,Lipopolysaccharide Biosynthesis / Recycling
RBK_L1,0.0,Alternate Carbon Metabolism
EX_lipoate_LPAREN_e_RPAREN_,0.0,
AKGtex_reverse,0.0,"Transport, Outer Membrane Porin"
SBTPD,0.0,Alternate Carbon Metabolism
LYSDC,0.0,Threonine and Lysine Metabolism
UAG2E_reverse,0.0,Cell Envelope Biosynthesis
