ac,swissprot_entry_name,ecogene_accession_number,ordered_locus_name,biologicalmaterial_id,gene_name,ordered_locus_name2
P0AAA3,ECPA_ECOLI,EG13565,b0293,MG1655,yagZ,JW0287
P17446,BETI_ECOLI,EG10111,b0313,MG1655,betI,JW0305
P19930,HYAD_ECOLI,EG10471,b0975,MG1655,hyaD,JW0957
P0AD17,YOHC_ECOLI,EG12016,b2135,MG1655,yohC,JW5356
P38101,EAMB_ECOLI,EG12445,b2578,MG1655,eamB,JW2562
P38101,EAMB_ECOLI,EG12445,b2578,MG1655,yfiK,JW2562
P45761,GSPJ_ECOLI,EG12893,b3331,MG1655,gspJ,JW3293
P45761,GSPJ_ECOLI,EG12893,b3331,MG1655,yheI,JW3293
P37623,ACPT_ECOLI,EG12221,b3475,MG1655,acpT,JW3440
P37623,ACPT_ECOLI,EG12221,b3475,MG1655,yhhU,JW3440
P0AF10,MTLR_ECOLI,EG11965,b3601,MG1655,mtlR,JW3575
P31469,CBRC_ECOLI,EG11727,b3717,MG1655,cbrC,JW3695
P31469,CBRC_ECOLI,EG11727,b3717,MG1655,yieJ,JW3695
P28697,HTGA_ECOLI,-,b0012,MG1655,htgA,JW5001
P28697,HTGA_ECOLI,-,b0012,MG1655,htpY,JW5001
P39206,CAIE_ECOLI,EG12608,b0035,MG1655,caiE,JW5004
P71301,ECPR_ECOLI,EG14324,b0294,MG1655,ecpR,JW5031
P71301,ECPR_ECOLI,EG14324,b0294,MG1655,matA,JW5031
P71301,ECPR_ECOLI,EG14324,b0294,MG1655,ykgK,JW5031
Q46948,YAJL_ECOLI,EG13272,b0424,MG1655,yajL,JW5057
Q46948,YAJL_ECOLI,EG13272,b0424,MG1655,thiJ,JW5057
P43340,YCAK_ECOLI,EG12702,b0901,MG1655,ycaK,JW0884
P75894,RUTE_ECOLI,EG13855,b1008,MG1655,rutE,JW0993
P75894,RUTE_ECOLI,EG13855,b1008,MG1655,ycdI,JW0993
P0A9H5,BTUR_ECOLI,EG10130,b1270,MG1655,btuR,JW1262
P0A9H5,BTUR_ECOLI,EG10130,b1270,MG1655,cobA,JW1262
P0A7I7,RIBA_ECOLI,EG11331,b1277,MG1655,ribA,JW1269
P0ADI0,PINR_ECOLI,EG13372,b1374,MG1655,pinR,JW1368
P0ADI0,PINR_ECOLI,EG13372,b1374,MG1655,ynaD,JW1368
P77181,PAAY_ECOLI,EG13747,b1400,MG1655,paaY,JW1395
P77181,PAAY_ECOLI,EG13747,b1400,MG1655,ydbZ,JW1395
P77170,PINQ_ECOLI,EG13824,b1545,MG1655,pinQ,JW1538
P77170,PINQ_ECOLI,EG13824,b1545,MG1655,ydfL,JW1538
P0ACT6,UIDR_ECOLI,EG12667,b1618,MG1655,uidR,JW1610
P0ACT6,UIDR_ECOLI,EG12667,b1618,MG1655,gusR,JW1610
P64481,YDJM_ECOLI,EG13989,b1728,MG1655,ydjM,JW5281
P60595,HIS5_ECOLI,EG10450,b2023,MG1655,hisH,JW2005
P37750,WBBJ_ECOLI,EG11984,b2033,MG1655,wbbJ,JW2018
P37750,WBBJ_ECOLI,EG11984,b2033,MG1655,yefH,JW2018
P66817,DIAA_ECOLI,EG12780,b3149,MG1655,diaA,JW3118
P66817,DIAA_ECOLI,EG12780,b3149,MG1655,yraO,JW3118
P0A9K9,SLYD_ECOLI,EG11663,b3349,MG1655,slyD,JW3311
P0AGA6,UHPA_ECOLI,EG11051,b3669,MG1655,uhpA,JW3644
P32680,YJAG_ECOLI,EG11916,b3999,MG1655,yjaG,JW3963
P75685,RCLC_ECOLI,EG13579,b0301,MG1655,rclC,JW5038
P75685,RCLC_ECOLI,EG13579,b0301,MG1655,ykgB,JW5038
P25397,TEHB_ECOLI,EG11884,b1430,MG1655,tehB,JW1426
P76547,YFFP_ECOLI,EG14177,b2447,MG1655,yffP,
P09372,GRPE_ECOLI,EG10416,b2614,MG1655,grpE,JW2594
P52061,RDGB_ECOLI,EG12982,b2954,MG1655,rdgB,JW2921
P52061,RDGB_ECOLI,EG12982,b2954,MG1655,yggV,JW2921
P25536,YHDE_ECOLI,EG11298,b3248,MG1655,yhdE,JW3217
P67143,YHGN_ECOLI,EG12941,b3434,MG1655,yhgN,JW3397
P39334,BDCR_ECOLI,EG12529,b4251,MG1655,bdcR,JW4208
P39334,BDCR_ECOLI,EG12529,b4251,MG1655,yjgJ,JW4208
P37016,YADK_ECOLI,EG12325,b0136,MG1655,yadK,JW0132
P10442,RNH2_ECOLI,EG10861,b0183,MG1655,rnhB,JW0178
P75806,YBJG_ECOLI,EG13676,b0841,MG1655,ybjG,JW5112
P0A8G6,NQOR_ECOLI,EG11540,b1004,MG1655,wrbA,JW0989
P0ADX9,RSMD_ECOLI,EG10343,b3465,MG1655,rsmD,JW3430
P0ADX9,RSMD_ECOLI,EG10343,b3465,MG1655,yhhF,JW3430
P0C093,SLMA_ECOLI,EG11191,b3641,MG1655,slmA,JW5641
P0C093,SLMA_ECOLI,EG11191,b3641,MG1655,ttk,JW5641
P0C093,SLMA_ECOLI,EG11191,b3641,MG1655,yicB,JW5641
P32712,NRFG_ECOLI,EG11950,b4076,MG1655,nrfG,JW4037
P32712,NRFG_ECOLI,EG11950,b4076,MG1655,yjcN,JW4037
Q47718,INSO2_ECOLI,EG40121,b4285,MG1655,insO2,
P0ADH7,FIME_ECOLI,EG10312,b4313,MG1655,fimE,JW4276
P36662,TORD_ECOLI,EG12195,b0998,MG1655,torD,JW0983
P67430,NEMR_ECOLI,EG13947,b1649,MG1655,nemR,JW5874
P67430,NEMR_ECOLI,EG13947,b1649,MG1655,ydhM,JW5874
P76491,5DNU_ECOLI,EG14102,b2291,MG1655,yfbR,JW2288
Q46897,CAS6_ECOLI,EG13115,b2756,MG1655,casE,JW2726
Q46897,CAS6_ECOLI,EG13115,b2756,MG1655,cas6e,JW2726
Q46897,CAS6_ECOLI,EG13115,b2756,MG1655,ygcH,JW2726
P0A8Y3,YIHX_ECOLI,EG11850,b3885,MG1655,yihX,JW5566
P32160,YIIQ_ECOLI,EG11874,b3920,MG1655,yiiQ,JW3891
P09153,TFAE_ECOLI,EG11120,b1156,MG1655,tfaE,JW1142
P09153,TFAE_ECOLI,EG11120,b1156,MG1655,ycfA,JW1142
P24238,YEBB_ECOLI,EG11136,b1862,MG1655,yebB,JW5306
P0ABL5,NAPC_ECOLI,EG12060,b2202,MG1655,napC,JW2190
P0ABL5,NAPC_ECOLI,EG12060,b2202,MG1655,yejX,JW2190
P45565,AIS_ECOLI,EG13155,b2252,MG1655,ais,JW2246
P45565,AIS_ECOLI,EG13155,b2252,MG1655,pmrG,JW2246
P20605,FIC_ECOLI,EG10307,b3361,MG1655,fic,JW3324
P37640,YHJB_ECOLI,EG12246,b3520,MG1655,yhjB,JW3488
P0ADH5,FIMB_ECOLI,EG10309,b4312,MG1655,fimB,JW4275
P30126,LEUD_ECOLI,EG11575,b0071,MG1655,leuD,JW0070
P37017,YADL_ECOLI,EG12326,b0137,MG1655,yadL,JW0133
P77736,YAHD_ECOLI,EG13588,b0318,MG1655,yahD,JW0310
P0A7H6,RECR_ECOLI,EG10834,b0472,MG1655,recR,JW0461
P76090,YNBA_ECOLI,EG13748,b1408,MG1655,ynbA,JW1405
P41407,AZOR_ECOLI,EG12695,b1412,MG1655,azoR,JW1409
P41407,AZOR_ECOLI,EG12695,b1412,MG1655,acpD,JW1409
P0A9D2,GSTA_ECOLI,EG12613,b1635,MG1655,gstA,JW1627
P0A9D2,GSTA_ECOLI,EG12613,b1635,MG1655,gst,JW1627
P0A6J1,CYSC_ECOLI,EG10185,b2750,MG1655,cysC,JW2720
P0AC35,TTDB_ECOLI,EG11169,b3062,MG1655,ttdB,JW3034
P0AC35,TTDB_ECOLI,EG11169,b3062,MG1655,ygjB,JW3034
P60723,RL4_ECOLI,EG10867,b3319,MG1655,rplD,JW3281
P60723,RL4_ECOLI,EG10867,b3319,MG1655,eryA,JW3281
P0ADP7,YIGP_ECOLI,EG11474,b3834,MG1655,yigP,JW3811
P0AFH8,OSMY_ECOLI,EG11391,b4376,MG1655,osmY,JW4338
P0ACA1,YIBF_ECOLI,EG11762,b3592,MG1655,yibF,JW3565
P32167,YIIX_ECOLI,EG11882,b3937,MG1655,yiiX,JW3908
P0A7C2,LEXA_ECOLI,EG10533,b4043,MG1655,lexA,JW4003
P0A7C2,LEXA_ECOLI,EG10533,b4043,MG1655,exrA,JW4003
P0A7C2,LEXA_ECOLI,EG10533,b4043,MG1655,spr,JW4003
P0A7C2,LEXA_ECOLI,EG10533,b4043,MG1655,tsl,JW4003
P0A7C2,LEXA_ECOLI,EG10533,b4043,MG1655,umuA,JW4003
P07464,THGA_ECOLI,EG10524,b0342,MG1655,lacA,JW0333
P52086,COBC_ECOLI,EG13240,b0638,MG1655,cobC,JW0633
P52086,COBC_ECOLI,EG13240,b0638,MG1655,phpB,JW0633
P61316,LOLA_ECOLI,EG12684,b0891,MG1655,lolA,JW0874
P61316,LOLA_ECOLI,EG12684,b0891,MG1655,lplA,JW0874
P61316,LOLA_ECOLI,EG12684,b0891,MG1655,yzzV,JW0874
P0C960,EMTA_ECOLI,EG13897,b1193,MG1655,emtA,JW5821
P0C960,EMTA_ECOLI,EG13897,b1193,MG1655,mltE,JW5821
P0C960,EMTA_ECOLI,EG13897,b1193,MG1655,sltZ,JW5821
P0C960,EMTA_ECOLI,EG13897,b1193,MG1655,ycgP,JW5821
P76066,YDAW_ECOLI,EG13365,b1361,MG1655,ydaW,JW5211
P0A809,RUVA_ECOLI,EG10923,b1861,MG1655,ruvA,JW1850
P06989,HIS2_ECOLI,EG10451,b2026,MG1655,hisI,JW2008
P06989,HIS2_ECOLI,EG10451,b2026,MG1655,hisIE,JW2008
P0AAK1,HYCB_ECOLI,EG10475,b2724,MG1655,hycB,JW2694
P0AAK1,HYCB_ECOLI,EG10475,b2724,MG1655,hevB,JW2694
P0AAA1,YAGU_ECOLI,EG13560,b0287,MG1655,yagU,JW0281
P0ABJ3,CYOC_ECOLI,EG10180,b0430,MG1655,cyoC,JW0420
P69853,DMSD_ECOLI,EG13847,b1591,MG1655,dmsD,JW5262
P69853,DMSD_ECOLI,EG13847,b1591,MG1655,ynfI,JW5262
P0ACZ4,EVGA_ECOLI,EG11609,b2369,MG1655,evgA,JW2366
P27862,YIGZ_ECOLI,EG11484,b3848,MG1655,yigZ,JW5577
P18776,DMSB_ECOLI,EG10233,b0895,MG1655,dmsB,JW0878
P23331,KITH_ECOLI,EG10994,b1238,MG1655,tdk,JW1226
P76117,YNCG_ECOLI,EG13777,b1454,MG1655,yncG,JW1449
P0AAJ1,YNFG_ECOLI,EG13845,b1589,MG1655,ynfG,JW1581
P23481,HYFA_ECOLI,EG11150,b2481,MG1655,hyfA,JW2466
P23481,HYFA_ECOLI,EG11150,b2481,MG1655,yffE,JW2466
P60782,PLSY_ECOLI,EG11674,b3059,MG1655,plsY,JW3031
P60782,PLSY_ECOLI,EG11674,b3059,MG1655,ygiH,JW3031
P0AGM2,YICG_ECOLI,EG11683,b3646,MG1655,yicG,JW3621
P32668,YIJF_ECOLI,EG11903,b3944,MG1655,yijF,JW3916
Q6BF16,DGOA_ECOLI,EG11716,b4477,MG1655,dgoA,JW5628
Q6BF16,DGOA_ECOLI,EG11716,b4477,MG1655,yidU,JW5628
P0A6I9,COAE_ECOLI,EG12312,b0103,MG1655,coaE,JW0100
P0A6I9,COAE_ECOLI,EG12312,b0103,MG1655,yacE,JW0100
P19925,ENTD_ECOLI,EG10262,b0583,MG1655,entD,JW5085
P0AFR4,YCIO_ECOLI,EG12967,b1267,MG1655,yciO,JW5196
P77285,RSXG_ECOLI,EG13937,b1631,MG1655,rsxG,JW1623
P77285,RSXG_ECOLI,EG13937,b1631,MG1655,rnfG,JW1623
P77285,RSXG_ECOLI,EG13937,b1631,MG1655,ydgP,JW1623
P76226,YNJF_ECOLI,EG14008,b1758,MG1655,ynjF,JW1747
P76576,YFGM_ECOLI,EG14209,b2513,MG1655,yfgM,JW2497
P0ADT8,YGIM_ECOLI,EG12434,b3055,MG1655,ygiM,JW3027
P0A7V8,RS4_ECOLI,EG10903,b3296,MG1655,rpsD,JW3258
P0A7V8,RS4_ECOLI,EG10903,b3296,MG1655,ramA,JW3258
P0AG38,RHTC_ECOLI,EG11468,b3823,MG1655,rhtC,JW5586
P0AG38,RHTC_ECOLI,EG11468,b3823,MG1655,yigJ,JW5586
P0AG34,RHTB_ECOLI,EG11469,b3824,MG1655,rhtB,JW5585
P0AG34,RHTB_ECOLI,EG11469,b3824,MG1655,yigK,JW5585
P00448,SODM_ECOLI,EG10953,b3908,MG1655,sodA,JW3879
P0A9L3,FKBB_ECOLI,EG12503,b4207,MG1655,fklB,JW5746
P0A9L3,FKBB_ECOLI,EG12503,b4207,MG1655,ytfC,JW5746
P0AFP0,YADS_ECOLI,EG12333,b0157,MG1655,yadS,JW0153
P30866,YAFE_ECOLI,EG11651,b0210,MG1655,yafE,JW0200
P0AAP5,YAIV_ECOLI,EG13607,b0375,MG1655,yaiV,JW0366
P0A6G7,CLPP_ECOLI,EG10158,b0437,MG1655,clpP,JW0427
P0A6G7,CLPP_ECOLI,EG10158,b0437,MG1655,lopP,JW0427
P61320,LOLB_ECOLI,EG11293,b1209,MG1655,lolB,JW1200
P61320,LOLB_ECOLI,EG11293,b1209,MG1655,hemM,JW1200
P61320,LOLB_ECOLI,EG11293,b1209,MG1655,ychC,JW1200
P0DMC9,RCSA_ECOLI,EG10820,b1951,MG1655,rcsA,JW1935
P33931,CCMA_ECOLI,EG12059,b2201,MG1655,ccmA,JW5366
P33931,CCMA_ECOLI,EG12059,b2201,MG1655,yejW,JW5366
P76466,YFAT_ECOLI,EG14082,b2229,MG1655,yfaT,JW2223
P64588,YQJI_ECOLI,EG12954,b3071,MG1655,yqjI,JW3042
P60546,KGUA_ECOLI,EG10965,b3648,MG1655,gmk,JW3623
P60546,KGUA_ECOLI,EG10965,b3648,MG1655,spoR,JW3623
P0A6U5,RSMG_ECOLI,EG10376,b3740,MG1655,rsmG,JW3718
P0A6U5,RSMG_ECOLI,EG10376,b3740,MG1655,gidB,JW3718
P77657,YAGK_ECOLI,EG13550,b0277,MG1655,yagK,JW0271
P0ADA1,TESA_ECOLI,EG11542,b0494,MG1655,tesA,JW0483
P0ADA1,TESA_ECOLI,EG11542,b0494,MG1655,apeA,JW0483
P0ADA1,TESA_ECOLI,EG11542,b0494,MG1655,pldC,JW0483
P0ACA7,GSTB_ECOLI,EG13481,b0838,MG1655,gstB,JW0822
P0ACA7,GSTB_ECOLI,EG13481,b0838,MG1655,yliJ,JW0822
P21367,YCAC_ECOLI,EG11241,b0897,MG1655,ycaC,JW0880
P0AAL6,YDHY_ECOLI,EG13959,b1674,MG1655,ydhY,JW1664
P0A8F0,UPP_ECOLI,EG11332,b2498,MG1655,upp,JW2483
P0A8F0,UPP_ECOLI,EG11332,b2498,MG1655,uraP,JW2483
P52125,YFJJ_ECOLI,EG13196,b2626,MG1655,yfjJ,JW2607
P0A7A5,PIMT_ECOLI,EG10689,b2743,MG1655,pcm,JW2713
P0ADI9,YHHN_ECOLI,EG12214,b3468,MG1655,yhhN,JW3433
P0AEG4,DSBA_ECOLI,EG11297,b3860,MG1655,dsbA,JW3832
P0AEG4,DSBA_ECOLI,EG11297,b3860,MG1655,dsf,JW3832
P0AEG4,DSBA_ECOLI,EG11297,b3860,MG1655,ppfA,JW3832
P77174,YBDM_ECOLI,EG13532,b0601,MG1655,ybdM,JW0594
P75869,SXY_ECOLI,EG13720,b0959,MG1655,sxy,JW0942
P75869,SXY_ECOLI,EG13720,b0959,MG1655,yccR,JW0942
P45581,STFP_ECOLI,EG12877,b1154,MG1655,stfP,JW1140
P45581,STFP_ECOLI,EG12877,b1154,MG1655,ycfK,JW1140
Q93K97,ADPP_ECOLI,EG12184,b3034,MG1655,nudF,JW3002
Q93K97,ADPP_ECOLI,EG12184,b3034,MG1655,aspP,JW3002
Q93K97,ADPP_ECOLI,EG12184,b3034,MG1655,yqiE,JW3002
Q93K97,ADPP_ECOLI,EG12184,b3034,MG1655,yzzG,JW3002
P76657,YQIJ_ECOLI,EG14231,b3050,MG1655,yqiJ,JW3022
P0C0R7,RLME_ECOLI,EG11507,b3179,MG1655,rlmE,JW3146
P0C0R7,RLME_ECOLI,EG11507,b3179,MG1655,ftsJ,JW3146
P0C0R7,RLME_ECOLI,EG11507,b3179,MG1655,mrsF,JW3146
P0C0R7,RLME_ECOLI,EG11507,b3179,MG1655,rrmJ,JW3146
P60438,RL3_ECOLI,EG10866,b3320,MG1655,rplC,JW3282
P39270,YJDF_ECOLI,EG12463,b4121,MG1655,yjdF,JW4082
P0AEL8,FIMZ_ECOLI,EG11103,b0535,MG1655,fimZ,JW5073
P0AEL8,FIMZ_ECOLI,EG11103,b0535,MG1655,ybcA,JW5073
P75952,COMR_ECOLI,EG13435,b1111,MG1655,comR,JW5159
P75952,COMR_ECOLI,EG13435,b1111,MG1655,ycfQ,JW5159
P76014,DHAL_ECOLI,EG13900,b1199,MG1655,dhaL,JW5186
P76014,DHAL_ECOLI,EG13900,b1199,MG1655,ycgS,JW5186
Q46941,YQEH_ECOLI,EG13099,b2846,MG1655,yqeH,JW5454
P64610,YRBL_ECOLI,EG12807,b3207,MG1655,yrbL,JW3174
P0ACJ8,CRP_ECOLI,EG10164,b3357,MG1655,crp,JW5702
P0ACJ8,CRP_ECOLI,EG10164,b3357,MG1655,cap,JW5702
P0ACJ8,CRP_ECOLI,EG10164,b3357,MG1655,csm,JW5702
P0A6P7,ENGB_ECOLI,EG11203,b3865,MG1655,engB,JW5930
P0A6P7,ENGB_ECOLI,EG11203,b3865,MG1655,yihA,JW5930
P39362,SGCE_ECOLI,EG12553,b4301,MG1655,sgcE,JW4263
P39362,SGCE_ECOLI,EG12553,b4301,MG1655,yjhK,JW4263
Q46791,YGEK_ECOLI,EG13041,b2856,MG1655,ygeK,JW5458/JW2824
Q46791,YGEK_ECOLI,EG13041,b2856,MG1655,ygeL,JW5458/JW2824
Q47154,MBHA_ECOLI,EG13143,b0230,MG1655,mbhA,JW5812
P0AB83,END3_ECOLI,EG10662,b1633,MG1655,nth,JW1625
P76343,YEDZ_ECOLI,EG14048,b1972,MG1655,yedZ,JW1955
P76520,YFDX_ECOLI,EG14146,b2375,MG1655,yfdX,JW2372
P0AD42,PGPC_ECOLI,EG11371,b2560,MG1655,pgpC,JW5408
P0AD42,PGPC_ECOLI,EG11371,b2560,MG1655,yfhB,JW5408
P11667,ARGO_ECOLI,EG11159,b2923,MG1655,argO,JW2890
P11667,ARGO_ECOLI,EG11159,b2923,MG1655,yggA,JW2890
P45469,YRAR_ECOLI,EG12783,b3152,MG1655,yraR,JW5528
P0ADV7,MLAC_ECOLI,EG12798,b3192,MG1655,mlaC,JW3159
P0ADV7,MLAC_ECOLI,EG12798,b3192,MG1655,yrbC,JW3159
P0AEL0,FDOI_ECOLI,EG11856,b3892,MG1655,fdoI,JW3863
P30137,THIE_ECOLI,EG11586,b3993,MG1655,thiE,JW3957
P0ACU2,RUTR_ECOLI,EG12301,b1013,MG1655,rutR,JW0998
P0ACU2,RUTR_ECOLI,EG12301,b1013,MG1655,ycdC,JW0998
P0A915,OMPW_ECOLI,EG11124,b1256,MG1655,ompW,JW1248
P0A915,OMPW_ECOLI,EG11124,b1256,MG1655,yciD,JW1248
P76249,LEUE_ECOLI,EG13505,b1798,MG1655,leuE,JW1787
P76249,LEUE_ECOLI,EG13505,b1798,MG1655,yeaS,JW1787
P08179,PUR3_ECOLI,EG10799,b2500,MG1655,purN,JW2485
Q46890,YGBL_ECOLI,EG13106,b2738,MG1655,ygbL,JW2708
P0ACA3,SSPA_ECOLI,EG10977,b3229,MG1655,sspA,JW3198
P0ACA3,SSPA_ECOLI,EG10977,b3229,MG1655,pog,JW3198
P0ACA3,SSPA_ECOLI,EG10977,b3229,MG1655,ssp,JW3198
P32687,YJBF_ECOLI,EG11924,b4027,MG1655,yjbF,JW5711
P39295,YJFM_ECOLI,EG12488,b4185,MG1655,yjfM,JW4143
P39310,YTFB_ECOLI,EG12502,b4206,MG1655,ytfB,JW5745
P0A744,MSRA_ECOLI,EG11433,b4219,MG1655,msrA,JW4178
P0A744,MSRA_ECOLI,EG11433,b4219,MG1655,pms,JW4178
P31450,GLVG_ECOLI,EG11708,b4556,MG1655,glvG,
P60720,LIPB_ECOLI,EG11591,b0630,MG1655,lipB,JW5089
P0A752,NADD_ECOLI,EG13241,b0639,MG1655,nadD,JW0634
P0A752,NADD_ECOLI,EG13241,b0639,MG1655,ybeN,JW0634
P0A720,KTHY_ECOLI,EG12302,b1098,MG1655,tmk,JW1084
P0A720,KTHY_ECOLI,EG12302,b1098,MG1655,ycfG,JW1084
P0AB38,LPOB_ECOLI,EG13431,b1105,MG1655,lpoB,JW5157
P0AB38,LPOB_ECOLI,EG13431,b1105,MG1655,ycfM,JW5157
P25746,HFLD_ECOLI,EG11345,b1132,MG1655,hflD,JW5165
P25746,HFLD_ECOLI,EG11345,b1132,MG1655,ycfC,JW5165
P0AFU8,RISA_ECOLI,EG11406,b1662,MG1655,ribC,JW1654
P0AFU8,RISA_ECOLI,EG11406,b1662,MG1655,ribE,JW1654
P21369,PNCA_ECOLI,EG11135,b1768,MG1655,pncA,JW1757
P21369,PNCA_ECOLI,EG11135,b1768,MG1655,nam,JW1757
P21369,PNCA_ECOLI,EG11135,b1768,MG1655,ydjB,JW1757
P0A955,ALKH_ECOLI,EG10256,b1850,MG1655,eda,JW1839
P0A955,ALKH_ECOLI,EG10256,b1850,MG1655,hga,JW1839
P0A955,ALKH_ECOLI,EG10256,b1850,MG1655,kdgA,JW1839
P0A8F4,URK_ECOLI,EG11701,b2066,MG1655,udk,JW2051
P76543,YFFL_ECOLI,EG14173,b2443,MG1655,yffL,
P0A7E3,PYRE_ECOLI,EG10808,b3642,MG1655,pyrE,JW3617
P69441,KAD_ECOLI,EG10032,b0474,MG1655,adk,JW0463
P69441,KAD_ECOLI,EG10032,b0474,MG1655,dnaW,JW0463
P69441,KAD_ECOLI,EG10032,b0474,MG1655,plsA,JW0463
P75884,GFCB_ECOLI,EG13731,b0986,MG1655,gfcB,JW0969
P75884,GFCB_ECOLI,EG13731,b0986,MG1655,ymcC,JW0969
P0A9H9,CHEZ_ECOLI,EG10151,b1881,MG1655,cheZ,JW1870
P77544,YFCF_ECOLI,EG14109,b2301,MG1655,yfcF,JW2298
P0AGC7,SMP_ECOLI,EG10951,b4387,MG1655,smp,JW4350
P0AGC7,SMP_ECOLI,EG10951,b4387,MG1655,ytjB,JW4350
P0ACS9,ACRR_ECOLI,EG12116,b0464,MG1655,acrR,JW0453
P0ACS9,ACRR_ECOLI,EG12116,b0464,MG1655,ybaH,JW0453
P75849,YCBL_ECOLI,EG13704,b0927,MG1655,ycbL,JW0910
P0AC59,GLRX2_ECOLI,EG12688,b1064,MG1655,grxB,JW1051
P29217,YCEH_ECOLI,EG11537,b1067,MG1655,yceH,JW1054
P25743,YCHE_ECOLI,EG11342,b1242,MG1655,ychE,JW1229
P30014,RNT_ECOLI,EG11547,b1652,MG1655,rnt,JW1644
P77564,YDHW_ECOLI,EG13957,b1672,MG1655,ydhW,JW1662
P31802,NARP_ECOLI,EG11527,b2193,MG1655,narP,JW2181
P77526,YFCG_ECOLI,EG14110,b2302,MG1655,yfcG,JW2299
P0AB87,FUCA_ECOLI,EG10348,b2800,MG1655,fucA,JW2771
P0AB87,FUCA_ECOLI,EG10348,b2800,MG1655,fucC,JW2771
P0AB87,FUCA_ECOLI,EG10348,b2800,MG1655,prd,JW2771
P0AFV2,YHID_ECOLI,EG11400,b3508,MG1655,yhiD,JW5670
P0AFV2,YHID_ECOLI,EG11400,b3508,MG1655,yhhE,JW5670
P0ACU5,FABR_ECOLI,EG11394,b3963,MG1655,fabR,JW3935
P0ACU5,FABR_ECOLI,EG11394,b3963,MG1655,yijC,JW3935
P0A7A2,GPMB_ECOLI,EG12164,b4395,MG1655,gpmB,JW4358
P0A7A2,GPMB_ECOLI,EG12164,b4395,MG1655,ytjC,JW4358
P52106,CSGD_ECOLI,EG13410,b1040,MG1655,csgD,JW1023
P0AF28,NARL_ECOLI,EG10643,b1221,MG1655,narL,JW1212
P0AF28,NARL_ECOLI,EG10643,b1221,MG1655,frdR,JW1212
P76344,ZINT_ECOLI,EG14049,b1973,MG1655,zinT,JW1956
P76344,ZINT_ECOLI,EG14049,b1973,MG1655,yodA,JW1956
P05050,ALKB_ECOLI,EG10037,b2212,MG1655,alkB,JW2200
P05050,ALKB_ECOLI,EG10037,b2212,MG1655,aidD,JW2200
P0DMC7,RCSB_ECOLI,EG10821,b2217,MG1655,rcsB,JW2205
P76459,ATOA_ECOLI,EG11670,b2222,MG1655,atoA,JW2216
P27294,INAA_ECOLI,EG11422,b2237,MG1655,inaA,JW2231
P27294,INAA_ECOLI,EG11422,b2237,MG1655,yfaG,JW2231
P77625,YFBT_ECOLI,EG14104,b2293,MG1655,yfbT,JW5376
P0AEW1,HYFE_ECOLI,EG14213,b2485,MG1655,hyfE,JW2470
P0AFX7,RSEA_ECOLI,EG12341,b2572,MG1655,rseA,JW2556
P0AFX7,RSEA_ECOLI,EG12341,b2572,MG1655,mclA,JW2556
P0AFX7,RSEA_ECOLI,EG12341,b2572,MG1655,yfiJ,JW2556
P39304,ULAD_ECOLI,EG12496,b4196,MG1655,ulaD,JW4154
P39304,ULAD_ECOLI,EG12496,b4196,MG1655,sgaH,JW4154
P39304,ULAD_ECOLI,EG12496,b4196,MG1655,yjfV,JW4154
P39220,YABP_ECOLI,EG12610,b4659,MG1655,yabP,JW0055
P37003,YBFG_ECOLI,EG11777,b0691,MG1655,ybfG,JW5094/JW5095
P31547,METI_ECOLI,EG11737,b0198,MG1655,metI,JW0194
P31547,METI_ECOLI,EG11737,b0198,MG1655,yaeE,JW0194
P38489,NFNB_ECOLI,EG20151,b0578,MG1655,nfnB,JW0567
P38489,NFNB_ECOLI,EG20151,b0578,MG1655,dprA,JW0567
P38489,NFNB_ECOLI,EG20151,b0578,MG1655,nfsB,JW0567
P38489,NFNB_ECOLI,EG20151,b0578,MG1655,nfsI,JW0567
P38489,NFNB_ECOLI,EG20151,b0578,MG1655,ntr,JW0567
P75966,RLUE_ECOLI,EG13447,b1135,MG1655,rluE,JW1121
P75966,RLUE_ECOLI,EG13447,b1135,MG1655,ymfC,JW1121
P0AEK7,FDNI_ECOLI,EG11229,b1476,MG1655,fdnI,JW1472
P76909,YNJD_ECOLI,EG14006,b1756,MG1655,ynjD,JW5286
P0A7J0,RIBB_ECOLI,EG10465,b3041,MG1655,ribB,JW3009
P0A7J0,RIBB_ECOLI,EG10465,b3041,MG1655,htrP,JW3009
P0ABU5,ELBB_ECOLI,EG11383,b3209,MG1655,elbB,JW3176
P0ABU5,ELBB_ECOLI,EG11383,b3209,MG1655,elb2,JW3176
P0ABU5,ELBB_ECOLI,EG11383,b3209,MG1655,yzzB,JW3176
P0AAV4,YBGJ_ECOLI,EG13306,b0711,MG1655,ybgJ,JW0701
P0CF60,INSD8_ECOLI,EG40004,b1578,MG1655,insD8,JW1570
P0AFI7,PDXH_ECOLI,EG11487,b1638,MG1655,pdxH,JW1630
P55798,PRP1_ECOLI,EG14026,b1838,MG1655,pphA,JW1827
P55798,PRP1_ECOLI,EG14026,b1838,MG1655,prpA,JW1827
P55798,PRP1_ECOLI,EG14026,b1838,MG1655,yebX,JW1827
P76280,YOBB_ECOLI,EG14030,b1843,MG1655,yobB,JW1832
P0AED5,UVRY_ECOLI,EG11140,b1914,MG1655,uvrY,JW1899
P0AED5,UVRY_ECOLI,EG11140,b1914,MG1655,yecB,JW1899
