Reaction,Formula,LB,UB,Subsystem
ALATA_L,1.0 akg_c + 1.0 ala_DASH_L_c -> 1.0 glu_DASH_L_c + 1.0 pyr_c,0,1000.0,Alanine and Aspartate Metabolism
ALCD19,1.0 nadh_c + 1.0 glyald_c + 1.0 h_c -> 1.0 glyc_c + 1.0 nad_c,0,1000.0,Alternate Carbon Metabolism
ALCD2x,1.0 nad_c + 1.0 etoh_c -> 1.0 acald_c + 1.0 nadh_c + 1.0 h_c,0,1000.0,Pyruvate Metabolism
ALDD19xr,1.0 h2o_c + 1.0 nad_c + 1.0 pacald_c -> 1.0 nadh_c + 2.0 h_c + 1.0 pac_c,0,1000.0,Alternate Carbon Metabolism
ALDD2x,1.0 acald_c + 1.0 h2o_c + 1.0 nad_c -> 1.0 ac_c + 1.0 nadh_c + 2.0 h_c,0.0,1000.0,Alternate Carbon Metabolism
ALDD2y,1.0 acald_c + 1.0 h2o_c + 1.0 nadp_c -> 1.0 ac_c + 1.0 nadph_c + 2.0 h_c,0.0,1000.0,Alternate Carbon Metabolism
ALDD4,1.0 btal_c + 1.0 h2o_c + 1.0 nad_c -> 1.0 nadh_c + 2.0 h_c + 1.0 but_c,0.0,0.0,Alternate Carbon Metabolism
ALLPI,1.0 all6p_c -> 1.0 allul6p_c,0,1000.0,Alternate Carbon Metabolism
ALLULPE,1.0 allul6p_c -> 1.0 f6p_c,0,1000.0,Alternate Carbon Metabolism
ALTRH,1.0 altrn_c -> 1.0 h2o_c + 1.0 2ddglcn_c,0.0,0.0,Alternate Carbon Metabolism
AM3PA,1.0 h2o_c + 1.0 anhm3p_c -> 1.0 anhm_c + 1.0 LalaDgluMdap_c,0.0,1000.0,Murein Recycling
AM4PA,1.0 h2o_c + 1.0 anhm4p_c -> 1.0 anhm_c + 1.0 LalaDgluMdapDala_c,0.0,1000.0,Murein Recycling
AM4PCP,1.0 h2o_c + 1.0 anhm4p_c -> 1.0 ala_DASH_D_c + 1.0 anhm3p_c,0.0,1000.0,Murein Recycling
AMALT2,1.0 malt_c + 1.0 maltttr_c -> 1.0 maltpt_c + 1.0 glc_DASH_D_c,0.0,0.0,Alternate Carbon Metabolism
AMALT4,1.0 malt_c + 1.0 malthx_c -> 1.0 malthp_c + 1.0 glc_DASH_D_c,0.0,0.0,Alternate Carbon Metabolism
AMANAPEr,1.0 acmanap_c -> 1.0 acgam6p_c,0,1000.0,Alternate Carbon Metabolism
AMPN,1.0 h2o_c + 1.0 amp_c -> 1.0 r5p_c + 1.0 ade_c,0.0,1000.0,Nucleotide Salvage Pathway
AMPTASEPG,1.0 h2o_c + 1.0 progly_c -> 1.0 pro_DASH_L_c + 1.0 gly_c,0.0,0.0,Arginine and Proline Metabolism
ANHMK,1.0 anhm_c + 1.0 h2o_c + 1.0 atp_c -> 1.0 acmum6p_c + 1.0 h_c + 1.0 adp_c,0.0,1000.0,Murein Recycling
AOBUTDs,1.0 2aobut_c + 1.0 h_c -> 1.0 co2_c + 1.0 aact_c,0.0,1000.0,Threonine and Lysine Metabolism
AP4AH,1.0 h2o_c + 1.0 ap4a_c -> 2.0 h_c + 2.0 adp_c,0.0,1000.0,Nucleotide Salvage Pathway
AP4AS,1.0 h_c + 2.0 atp_c -> 1.0 ppi_c + 1.0 ap4a_c,0.0,1000.0,Nucleotide Salvage Pathway
APCS,1.0 15dap_c + 1.0 ametam_c -> 1.0 5mta_c + 1.0 h_c + 1.0 na15dap_c,0.0,0.0,Arginine and Proline Metabolism
APPLDHr,1.0 nadh_c + 1.0 h_c + 1.0 aact_c -> 1.0 appl_c + 1.0 nad_c,0,1000.0,Threonine and Lysine Metabolism
ARAI,1.0 arab_DASH_L_c -> 1.0 rbl_DASH_L_c,0,1000.0,Alternate Carbon Metabolism
ARGDCpp,1.0 arg_DASH_L_p + 1.0 h_p -> 1.0 co2_p + 1.0 agm_p,0.0,0.0,Arginine and Proline Metabolism
ARGSL,1.0 argsuc_c -> 1.0 arg_DASH_L_c + 1.0 fum_c,0,1000.0,Arginine and Proline Metabolism
ARGSS,1.0 citr_DASH_L_c + 1.0 asp_DASH_L_c + 1.0 atp_c -> 1.0 argsuc_c + 1.0 ppi_c + 1.0 amp_c + 1.0 h_c,0.0,1000.0,Arginine and Proline Metabolism
ASAD,1.0 aspsa_c + 1.0 pi_c + 1.0 nadp_c -> 1.0 nadph_c + 1.0 4pasp_c + 1.0 h_c,0,1000.0,Threonine and Lysine Metabolism
ASNN,1.0 asn_DASH_L_c + 1.0 h2o_c -> 1.0 asp_DASH_L_c + 1.0 nh4_c,0.0,1000.0,Alanine and Aspartate Metabolism
ASNS1,1.0 h2o_c + 1.0 asp_DASH_L_c + 1.0 atp_c + 1.0 gln_DASH_L_c -> 1.0 h_c + 1.0 glu_DASH_L_c + 1.0 ppi_c + 1.0 asn_DASH_L_c + 1.0 amp_c,0.0,1000.0,Alanine and Aspartate Metabolism
ASNS2,1.0 asp_DASH_L_c + 1.0 nh4_c + 1.0 atp_c -> 1.0 asn_DASH_L_c + 1.0 ppi_c + 1.0 amp_c + 1.0 h_c,0.0,1000.0,Alanine and Aspartate Metabolism
ASPK,1.0 asp_DASH_L_c + 1.0 atp_c -> 1.0 4pasp_c + 1.0 adp_c,0,1000.0,Threonine and Lysine Metabolism
ASPT,1.0 asp_DASH_L_c -> 1.0 fum_c + 1.0 nh4_c,0.0,1000.0,Alanine and Aspartate Metabolism
ASPTA,1.0 akg_c + 1.0 asp_DASH_L_c -> 1.0 glu_DASH_L_c + 1.0 oaa_c,0,1000.0,Alanine and Aspartate Metabolism
AST,1.0 arg_DASH_L_c + 1.0 succoa_c -> 1.0 sucarg_c + 1.0 coa_c + 1.0 h_c,0.0,1000.0,Arginine and Proline Metabolism
ATHRDHr,1.0 nadp_c + 1.0 athr_DASH_L_c -> 1.0 nadph_c + 1.0 2aobut_c + 1.0 h_c,0,1000.0,Threonine and Lysine Metabolism
ATPHs,1.0 h2o_c + 1.0 h_c + 1.0 atp_c -> 1.0 nh4_c + 1.0 itp_c,0.0,1000.0,Nucleotide Salvage Pathway
ATPM,1.0 h2o_c + 1.0 atp_c -> 1.0 pi_c + 1.0 h_c + 1.0 adp_c,3.15,1000.0,Unassigned
ATPS4rpp,1.0 pi_c + 1.0 adp_c + 4.0 h_p -> 1.0 h2o_c + 3.0 h_c + 1.0 atp_c,0,1000.0,Oxidative Phosphorylation
BPNT,1.0 h2o_c + 1.0 pap_c -> 1.0 pi_c + 1.0 amp_c,0.0,1000.0,Cysteine Metabolism
CA2tex,1.0 ca2_e -> 1.0 ca2_p,0,1000.0,"Transport, Outer Membrane Porin"
CBL1abcpp,1.0 cbl1_p + 1.0 h2o_c + 1.0 atp_c -> 1.0 cbl1_c + 1.0 pi_c + 1.0 h_c + 1.0 adp_c,0.0,1000.0,"Transport, Inner Membrane"
CBL1tonex,1.0 cbl1_e + 1.0 h_p -> 1.0 cbl1_p + 1.0 h_c,0.0,1000.0,"Transport, Outer Membrane"
CBMKr,1.0 co2_c + 1.0 nh4_c + 1.0 atp_c -> 1.0 cbp_c + 2.0 h_c + 1.0 adp_c,0,1000.0,Unassigned
CBPS,1.0 hco3_c + 1.0 h2o_c + 2.0 atp_c + 1.0 gln_DASH_L_c -> 1.0 cbp_c + 1.0 glu_DASH_L_c + 1.0 pi_c + 2.0 h_c + 2.0 adp_c,0.0,1000.0,Arginine and Proline Metabolism
CHORM,1.0 chor_c -> 1.0 pphn_c,0.0,1000.0,"Tyrosine, Tryptophan, and Phenylalanine Metabolism"
CHORS,1.0 3psme_c -> 1.0 chor_c + 1.0 pi_c,0.0,1000.0,"Tyrosine, Tryptophan, and Phenylalanine Metabolism"
CITL,1.0 cit_c -> 1.0 ac_c + 1.0 oaa_c,0.0,1000.0,Citric Acid Cycle
CLPNS160pp,2.0 pg160_p -> 1.0 clpn160_p + 1.0 glyc_p,0,1000.0,Glycerophospholipid Metabolism
CLPNS161pp,2.0 pg161_p -> 1.0 clpn161_p + 1.0 glyc_p,0,1000.0,Glycerophospholipid Metabolism
CLPNS181pp,2.0 pg181_p -> 1.0 clpn181_p + 1.0 glyc_p,0,1000.0,Glycerophospholipid Metabolism
CLt3_2pp,2.0 cl_p + 1.0 h_c -> 1.0 h_p + 2.0 cl_c,0.0,1000.0,Inorganic Ion Transport and Metabolism
CLtex,1.0 cl_e -> 1.0 cl_p,0,1000.0,"Transport, Outer Membrane Porin"
CMPN,1.0 h2o_c + 1.0 cmp_c -> 1.0 r5p_c + 1.0 csn_c,0.0,1000.0,Nucleotide Salvage Pathway
COBALT2tex,1.0 cobalt2_e -> 1.0 cobalt2_p,0,1000.0,"Transport, Outer Membrane Porin"
COBALT2tpp,1.0 cobalt2_p -> 1.0 cobalt2_c,0.0,1000.0,Inorganic Ion Transport and Metabolism
CRNBTCT,1.0 crn_c + 1.0 bbtcoa_c -> 1.0 crncoa_c + 1.0 gbbtn_c,0,1000.0,Oxidative Phosphorylation
CRNCAR,1.0 crncoa_c -> 1.0 crnDcoa_c,0,1000.0,Oxidative Phosphorylation
CRNCBCT,1.0 crn_c + 1.0 ctbtcoa_c -> 1.0 crncoa_c + 1.0 ctbt_c,0,1000.0,Oxidative Phosphorylation
CRNCDH,1.0 crncoa_c -> 1.0 ctbtcoa_c + 1.0 h2o_c,0,1000.0,Oxidative Phosphorylation
CS,1.0 h2o_c + 1.0 oaa_c + 1.0 accoa_c -> 1.0 coa_c + 1.0 h_c + 1.0 cit_c,0.0,1000.0,Citric Acid Cycle
CSND,1.0 h2o_c + 1.0 csn_c + 1.0 h_c -> 1.0 ura_c + 1.0 nh4_c,0.0,1000.0,Nucleotide Salvage Pathway
CTPS2,1.0 h2o_c + 1.0 utp_c + 1.0 atp_c + 1.0 gln_DASH_L_c -> 1.0 ctp_c + 1.0 glu_DASH_L_c + 1.0 pi_c + 2.0 h_c + 1.0 adp_c,0.0,1000.0,Purine and Pyrimidine Biosynthesis
CU2tex,1.0 cu2_e -> 1.0 cu2_p,0,1000.0,"Transport, Outer Membrane Porin"
CU2tpp,1.0 cu2_p -> 1.0 cu2_c,0.0,1000.0,Inorganic Ion Transport and Metabolism
CYSDS,1.0 h2o_c + 1.0 cys_DASH_L_c -> 1.0 pyr_c + 1.0 nh4_c + 1.0 h2s_c,0.0,1000.0,Cysteine Metabolism
CYSS,1.0 acser_c + 1.0 h2s_c -> 1.0 ac_c + 1.0 cys_DASH_L_c + 1.0 h_c,0.0,1000.0,Cysteine Metabolism
CYTBD2pp,0.5 o2_c + 2.0 h_c + 1.0 mql8_c -> 1.0 h2o_c + 1.0 mqn8_c + 2.0 h_p,0.0,1000.0,Oxidative Phosphorylation
CYTBDpp,0.5 o2_c + 2.0 h_c + 1.0 q8h2_c -> 1.0 h2o_c + 1.0 q8_c + 2.0 h_p,0.0,1000.0,Oxidative Phosphorylation
CYTBO3_4pp,0.5 o2_c + 4.0 h_c + 1.0 q8h2_c -> 1.0 h2o_c + 1.0 q8_c + 4.0 h_p,0.0,1000.0,Oxidative Phosphorylation
CYTD,1.0 cytd_c + 1.0 h2o_c + 1.0 h_c -> 1.0 uri_c + 1.0 nh4_c,0.0,1000.0,Nucleotide Salvage Pathway
CYTDH,1.0 cytd_c + 1.0 h2o_c -> 1.0 rib_DASH_D_c + 1.0 csn_c,0.0,1000.0,Alternate Carbon Metabolism
CYTDK2,1.0 cytd_c + 1.0 gtp_c -> 1.0 gdp_c + 1.0 h_c + 1.0 cmp_c,0.0,1000.0,Nucleotide Salvage Pathway
CYTK1,1.0 atp_c + 1.0 cmp_c -> 1.0 cdp_c + 1.0 adp_c,0,1000.0,Nucleotide Salvage Pathway
CYTK2,1.0 dcmp_c + 1.0 atp_c -> 1.0 adp_c + 1.0 dcdp_c,0,1000.0,Nucleotide Salvage Pathway
DAAD,1.0 ala_DASH_D_c + 1.0 h2o_c + 1.0 fad_c -> 1.0 fadh2_c + 1.0 pyr_c + 1.0 nh4_c,0.0,1000.0,Alanine and Aspartate Metabolism
DADA,1.0 h2o_c + 1.0 h_c + 1.0 dad_DASH_2_c -> 1.0 din_c + 1.0 nh4_c,0.0,1000.0,Nucleotide Salvage Pathway
DADK,1.0 damp_c + 1.0 atp_c -> 1.0 dadp_c + 1.0 adp_c,0,1000.0,Nucleotide Salvage Pathway
DALAt2pp,1.0 ala_DASH_D_p + 1.0 h_p -> 1.0 ala_DASH_D_c + 1.0 h_c,0.0,1000.0,"Transport, Inner Membrane"
DAPDC,1.0 26dap_DASH_M_c + 1.0 h_c -> 1.0 lys_DASH_L_c + 1.0 co2_c,0.0,1000.0,Threonine and Lysine Metabolism
DAPE,1.0 26dap_DASH_LL_c -> 1.0 26dap_DASH_M_c,0,1000.0,Threonine and Lysine Metabolism
DATPHs,1.0 datp_c + 1.0 h2o_c + 1.0 h_c -> 1.0 ditp_c + 1.0 nh4_c,0.0,1000.0,Nucleotide Salvage Pathway
DCTPD,1.0 h2o_c + 1.0 h_c + 1.0 dctp_c -> 1.0 dutp_c + 1.0 nh4_c,0.0,0.0,Nucleotide Salvage Pathway
DCYTD,1.0 dcyt_c + 1.0 h2o_c + 1.0 h_c -> 1.0 nh4_c + 1.0 duri_c,0.0,1000.0,Nucleotide Salvage Pathway
DDGLK,1.0 2ddglcn_c + 1.0 atp_c -> 1.0 2ddg6p_c + 1.0 adp_c + 1.0 h_c,0.0,0.0,Alternate Carbon Metabolism
DDPGALA,1.0 2dh3dgal6p_c -> 1.0 pyr_c + 1.0 g3p_c,0,1000.0,Alternate Carbon Metabolism
DGK1,1.0 dgmp_c + 1.0 atp_c -> 1.0 dgdp_c + 1.0 adp_c,0,1000.0,Nucleotide Salvage Pathway
DHACOAH,1.0 h2o_c + 1.0 23dhacoa_c -> 1.0 3hadpcoa_c,0,1000.0,Alternate Carbon Metabolism
DHAD1,1.0 23dhmb_c -> 1.0 h2o_c + 1.0 3mob_c,0.0,1000.0,"Valine, Leucine, and Isoleucine Metabolism"
DHCIND,1.0 cenchddd_c + 1.0 nad_c -> 1.0 dhcinnm_c + 1.0 nadh_c + 1.0 h_c,0.0,0.0,Alternate Carbon Metabolism
DHFR,1.0 nadph_c + 1.0 h_c + 1.0 dhf_c -> 1.0 nadp_c + 1.0 thf_c,0,1000.0,Cofactor and Prosthetic Group Biosynthesis
DHORTS,1.0 h2o_c + 1.0 dhor_DASH_S_c -> 1.0 cbasp_c + 1.0 h_c,0.0,0.0,Purine and Pyrimidine Biosynthesis
DHPTDCs2,1.0 dhptd_c -> 1.0 mdhdhf_c,0.0,1000.0,Methionine Metabolism
DHPTDNRN,1.0 dhptdn_c + 1.0 nadh_c + 3.0 h_c -> 1.0 thptdn_c + 1.0 nad_c,0.0,0.0,Alternate Carbon Metabolism
DHQTi,1.0 3dhq_c -> 1.0 3dhsk_c + 1.0 h2o_c,0.0,1000.0,"Tyrosine, Tryptophan, and Phenylalanine Metabolism"
DKGLCNR2x,1.0 25dkglcn_c + 1.0 nadh_c + 1.0 h_c -> 1.0 5dglcn_c + 1.0 nad_c,0.0,0.0,Alternate Carbon Metabolism
DMSOR1,1.0 dmso_c + 1.0 mql8_c -> 1.0 h2o_c + 1.0 dms_c + 1.0 mqn8_c,0.0,0.0,Oxidative Phosphorylation
DMSOR2,1.0 dmso_c + 1.0 2dmmql8_c -> 1.0 h2o_c + 1.0 dms_c + 1.0 2dmmq8_c,0.0,0.0,Oxidative Phosphorylation
DOGULNR,1.0 nadh_c + 1.0 23doguln_c + 1.0 h_c -> 1.0 3dhguln_c + 1.0 nad_c,0.0,0.0,Alternate Carbon Metabolism
DRPA,1.0 2dr5p_c -> 1.0 acald_c + 1.0 g3p_c,0.0,1000.0,Alternate Carbon Metabolism
DSERDHr,1.0 ser_DASH_D_c + 1.0 nadp_c -> 1.0 2amsa_c + 1.0 nadph_c + 1.0 h_c,0,1000.0,Glycine and Serine Metabolism
DTMPK,1.0 dtmp_c + 1.0 atp_c -> 1.0 dtdp_c + 1.0 adp_c,0,1000.0,Nucleotide Salvage Pathway
DURADx,1.0 56dura_c + 1.0 nad_c -> 1.0 ura_c + 1.0 nadh_c + 1.0 h_c,0,1000.0,Nucleotide Salvage Pathway
DURIK1,1.0 duri_c + 1.0 atp_c -> 1.0 adp_c + 1.0 dump_c + 1.0 h_c,0.0,1000.0,Nucleotide Salvage Pathway
DURIPP,1.0 pi_c + 1.0 duri_c -> 1.0 ura_c + 1.0 2dr1p_c,0,1000.0,Nucleotide Salvage Pathway
DXPS,1.0 pyr_c + 1.0 h_c + 1.0 g3p_c -> 1.0 dxyl5p_c + 1.0 co2_c,0.0,1000.0,Cofactor and Prosthetic Group Biosynthesis
EDA,1.0 2ddg6p_c -> 1.0 pyr_c + 1.0 g3p_c,0.0,1000.0,Pentose Phosphate Pathway
EDD,1.0 6pgc_c -> 1.0 h2o_c + 1.0 2ddg6p_c,0.0,1000.0,Pentose Phosphate Pathway
ENO,1.0 2pg_c -> 1.0 pep_c + 1.0 h2o_c,0,1000.0,Glycolysis/Gluconeogenesis
F6PP,1.0 h2o_c + 1.0 f6p_c -> 1.0 pi_c + 1.0 fru_c,0.0,1000.0,Alternate Carbon Metabolism
FADRx,1.0 nadh_c + 1.0 h_c + 1.0 fad_c -> 1.0 fadh2_c + 1.0 nad_c,0.0,1000.0,Cofactor and Prosthetic Group Biosynthesis
FBA,1.0 fdp_c -> 1.0 dhap_c + 1.0 g3p_c,0,1000.0,Glycolysis/Gluconeogenesis
FBA3,1.0 s17bp_c -> 1.0 e4p_c + 1.0 dhap_c,0,1000.0,Pentose Phosphate Pathway
FBP,1.0 h2o_c + 1.0 fdp_c -> 1.0 pi_c + 1.0 f6p_c,0.0,1000.0,Glycolysis/Gluconeogenesis
FCI,1.0 fuc_DASH_L_c -> 1.0 fcl_DASH_L_c,0,1000.0,Alternate Carbon Metabolism
FCLPA,1.0 fc1p_c -> 1.0 dhap_c + 1.0 lald_DASH_L_c,0,1000.0,Alternate Carbon Metabolism
FDH5pp,1.0 mqn8_c + 1.0 for_p + 2.0 h_c -> 1.0 co2_p + 1.0 mql8_c + 1.0 h_p,0.0,0.0,Oxidative Phosphorylation
FE2tex,1.0 fe2_e -> 1.0 fe2_p,0,1000.0,"Transport, Outer Membrane Porin"
FE2tpp,1.0 fe2_p -> 1.0 fe2_c,0.0,1000.0,Inorganic Ion Transport and Metabolism
FESD1s,1.0 h2o2_c + 2.0 4fe4s_c + 2.0 h_c -> 2.0 fe3_c + 2.0 h2o_c + 2.0 3fe4s_c,0.0,1000.0,Cofactor and Prosthetic Group Biosynthesis
FESR,1.0 fe2_c + 1.0 3fe4s_c -> 1.0 4fe4s_c,0.0,1000.0,Cofactor and Prosthetic Group Biosynthesis
FHL,1.0 h_c + 1.0 for_c -> 1.0 co2_c + 1.0 h2_c,0.0,0.0,Pyruvate Metabolism
FOMETRi,1.0 5fthf_c + 1.0 h_c -> 1.0 h2o_c + 1.0 methf_c,0.0,1000.0,Folate Metabolism
FORCT,1.0 oxa_c + 1.0 forcoa_c -> 1.0 oxalcoa_c + 1.0 for_c,0,1000.0,Alternate Carbon Metabolism
FRD2,1.0 fum_c + 1.0 mql8_c -> 1.0 succ_c + 1.0 mqn8_c,0.0,1000.0,Citric Acid Cycle
FRD3,1.0 fum_c + 1.0 2dmmql8_c -> 1.0 succ_c + 1.0 2dmmq8_c,0.0,1000.0,Citric Acid Cycle
FRULYSDG,1.0 h2o_c + 1.0 frulysp_c -> 1.0 lys_DASH_L_c + 1.0 g6p_c,0,1000.0,Alternate Carbon Metabolism
FRULYSE,1.0 psclys_c -> 1.0 frulys_c,0,1000.0,Alternate Carbon Metabolism
FTHFD,1.0 h2o_c + 1.0 10fthf_c -> 1.0 thf_c + 1.0 for_c + 1.0 h_c,0.0,1000.0,Folate Metabolism
FTHFLi,1.0 thf_c + 1.0 for_c + 1.0 atp_c -> 1.0 pi_c + 1.0 10fthf_c + 1.0 adp_c,0.0,1000.0,Folate Metabolism
FUM,1.0 h2o_c + 1.0 fum_c -> 1.0 mal_DASH_L_c,0,1000.0,Citric Acid Cycle
G2PP,1.0 h2o_c + 1.0 glyc2p_c -> 1.0 pi_c + 1.0 glyc_c,0.0,0.0,Alternate Carbon Metabolism
G3PD2,1.0 glyc3p_c + 1.0 nadp_c -> 1.0 dhap_c + 1.0 nadph_c + 1.0 h_c,0,1000.0,Alternate Carbon Metabolism
G3PD5,1.0 glyc3p_c + 1.0 q8_c -> 1.0 q8h2_c + 1.0 dhap_c,0.0,1000.0,Oxidative Phosphorylation
G3PD6,1.0 glyc3p_c + 1.0 mqn8_c -> 1.0 dhap_c + 1.0 mql8_c,0.0,1000.0,Oxidative Phosphorylation
G3PD7,1.0 glyc3p_c + 1.0 2dmmq8_c -> 1.0 dhap_c + 1.0 2dmmql8_c,0.0,1000.0,Oxidative Phosphorylation
G3PT,1.0 h2o_c + 1.0 glyc3p_c -> 1.0 pi_c + 1.0 glyc_c,0.0,1000.0,Alternate Carbon Metabolism
G5SADs,1.0 glu5sa_c -> 1.0 1pyr5c_c + 1.0 h2o_c + 1.0 h_c,0.0,1000.0,Arginine and Proline Metabolism
G6PDA,1.0 h2o_c + 1.0 gam6p_c -> 1.0 nh4_c + 1.0 f6p_c,0.0,1000.0,Alternate Carbon Metabolism
G6PDH2r,1.0 g6p_c + 1.0 nadp_c -> 1.0 6pgl_c + 1.0 nadph_c + 1.0 h_c,0,1000.0,Pentose Phosphate Pathway
G6PP,1.0 g6p_c + 1.0 h2o_c -> 1.0 pi_c + 1.0 glc_DASH_D_c,0.0,1000.0,Glycolysis/Gluconeogenesis
GALCTD,1.0 galct_DASH_D_c -> 1.0 h2o_c + 1.0 5dh4dglc_c,0.0,0.0,Alternate Carbon Metabolism
GALCTND,1.0 galctn_DASH_D_c -> 1.0 h2o_c + 1.0 2dh3dgal_c,0.0,0.0,Alternate Carbon Metabolism
GALKr,1.0 gal_c + 1.0 atp_c -> 1.0 adp_c + 1.0 gal1p_c + 1.0 h_c,0,1000.0,Alternate Carbon Metabolism
GALS3,1.0 melib_c + 1.0 h2o_c -> 1.0 gal_c + 1.0 glc_DASH_D_c,0.0,0.0,Alternate Carbon Metabolism
GALUi,1.0 utp_c + 1.0 h_c + 1.0 g1p_c -> 1.0 ppi_c + 1.0 udpg_c,0.0,1000.0,Cell Envelope Biosynthesis
GAPD,1.0 pi_c + 1.0 g3p_c + 1.0 nad_c -> 1.0 nadh_c + 1.0 h_c + 1.0 13dpg_c,0,1000.0,Glycolysis/Gluconeogenesis
GARFT,1.0 gar_c + 1.0 10fthf_c -> 1.0 fgam_c + 1.0 thf_c + 1.0 h_c,0,1000.0,Purine and Pyrimidine Biosynthesis
GART,1.0 gar_c + 1.0 atp_c + 1.0 for_c -> 1.0 pi_c + 1.0 fgam_c + 1.0 h_c + 1.0 adp_c,0.0,1000.0,Purine and Pyrimidine Biosynthesis
GCALDD,1.0 h2o_c + 1.0 nad_c + 1.0 gcald_c -> 1.0 glyclt_c + 1.0 nadh_c + 2.0 h_c,0.0,1000.0,Folate Metabolism
GHBDHx,1.0 nadh_c + 1.0 h_c + 1.0 sucsal_c -> 1.0 nad_c + 1.0 ghb_c,0,1000.0,Arginine and Proline Metabolism
GHMT2r,1.0 ser_DASH_L_c + 1.0 thf_c -> 1.0 h2o_c + 1.0 gly_c + 1.0 mlthf_c,0,1000.0,Glycine and Serine Metabolism
GK1,1.0 gmp_c + 1.0 atp_c -> 1.0 gdp_c + 1.0 adp_c,0,1000.0,Nucleotide Salvage Pathway
GLBRAN2,1.0 glycogen_c -> 1.0 bglycogen_c,0.0,1000.0,Glycolysis/Gluconeogenesis
GLCATr,1.0 glc_DASH_D_c + 1.0 accoa_c -> 1.0 coa_c + 1.0 acglc_DASH_D_c,0,1000.0,Alternate Carbon Metabolism
GLCP,1.0 pi_c + 1.0 glycogen_c -> 1.0 g1p_c,0.0,1000.0,Glycolysis/Gluconeogenesis
GLCP2,1.0 bglycogen_c + 1.0 pi_c -> 1.0 g1p_c,0.0,1000.0,Glycolysis/Gluconeogenesis
GLCRD,1.0 glcr_c -> 1.0 h2o_c + 1.0 5dh4dglc_c,0.0,0.0,Alternate Carbon Metabolism
GLCptspp,1.0 pep_c + 1.0 glc_DASH_D_p -> 1.0 g6p_c + 1.0 pyr_c,0.0,1000.0,"Transport, Inner Membrane"
GLCtex,1.0 glc_DASH_D_e -> 1.0 glc_DASH_D_p,0,1000.0,"Transport, Outer Membrane Porin"
GLDBRAN2,1.0 bglycogen_c -> 1.0 glycogen_c,0.0,1000.0,Glycolysis/Gluconeogenesis
GLNS,1.0 glu_DASH_L_c + 1.0 nh4_c + 1.0 atp_c -> 1.0 pi_c + 1.0 h_c + 1.0 adp_c + 1.0 gln_DASH_L_c,0.0,1000.0,Glutamate Metabolism
GLTPD,1.0 galt1p_c + 1.0 nad_c -> 1.0 nadh_c + 1.0 tag6p_DASH_D_c + 1.0 h_c,0,1000.0,Alternate Carbon Metabolism
GLUDC,1.0 glu_DASH_L_c + 1.0 h_c -> 1.0 co2_c + 1.0 4abut_c,0.0,1000.0,Glutamate Metabolism
GLUN,1.0 h2o_c + 1.0 gln_DASH_L_c -> 1.0 glu_DASH_L_c + 1.0 nh4_c,0.0,1000.0,Glutamate Metabolism
GLUSy,1.0 akg_c + 1.0 nadph_c + 1.0 h_c + 1.0 gln_DASH_L_c -> 2.0 glu_DASH_L_c + 1.0 nadp_c,0.0,1000.0,Glutamate Metabolism
GLXCL,2.0 glx_c + 1.0 h_c -> 1.0 co2_c + 1.0 2h3oppan_c,0.0,1000.0,Glyoxylate Metabolism
GLYAT,1.0 gly_c + 1.0 accoa_c -> 1.0 coa_c + 1.0 2aobut_c,0,1000.0,Glycine and Serine Metabolism
GLYCK,1.0 glyc_DASH_R_c + 1.0 atp_c -> 1.0 h_c + 1.0 adp_c + 1.0 3pg_c,0.0,1000.0,Glyoxylate Metabolism
GLYCK2,1.0 glyc_DASH_R_c + 1.0 atp_c -> 1.0 2pg_c + 1.0 adp_c + 1.0 h_c,0.0,1000.0,Glycine and Serine Metabolism
GLYCL,1.0 thf_c + 1.0 nad_c + 1.0 gly_c -> 1.0 co2_c + 1.0 nadh_c + 1.0 mlthf_c + 1.0 nh4_c,0.0,1000.0,Folate Metabolism
GLYCLTDx,1.0 nadh_c + 1.0 glx_c + 1.0 h_c -> 1.0 glyclt_c + 1.0 nad_c,0.0,1000.0,Glyoxylate Metabolism
GLYCLTDy,1.0 nadph_c + 1.0 glx_c + 1.0 h_c -> 1.0 glyclt_c + 1.0 nadp_c,0.0,1000.0,Glyoxylate Metabolism
GLYCTO2,1.0 glyclt_c + 1.0 q8_c -> 1.0 q8h2_c + 1.0 glx_c,0.0,1000.0,Alternate Carbon Metabolism
GLYCTO3,1.0 glyclt_c + 1.0 mqn8_c -> 1.0 glx_c + 1.0 mql8_c,0.0,1000.0,Alternate Carbon Metabolism
GLYCTO4,1.0 glyclt_c + 1.0 2dmmq8_c -> 1.0 glx_c + 1.0 2dmmql8_c,0.0,1000.0,Alternate Carbon Metabolism
GLYK,1.0 glyc_c + 1.0 atp_c -> 1.0 glyc3p_c + 1.0 h_c + 1.0 adp_c,0.0,1000.0,Alternate Carbon Metabolism
GLYOX3,1.0 h2o_c + 1.0 mthgxl_c -> 1.0 lac_DASH_D_c + 1.0 h_c,0.0,1000.0,Methylglyoxal Metabolism
GMPR,1.0 gmp_c + 1.0 nadph_c + 2.0 h_c -> 1.0 nadp_c + 1.0 imp_c + 1.0 nh4_c,0.0,1000.0,Purine and Pyrimidine Biosynthesis
GND,1.0 6pgc_c + 1.0 nadp_c -> 1.0 ru5p_DASH_D_c + 1.0 co2_c + 1.0 nadph_c,0.0,1000.0,Pentose Phosphate Pathway
